mlbam_id,name,p,bi_rank,breakout_next,next_pts
596115,Trevor Story,0.22771898396971033,314,0,181.0
641355,Cody Bellinger,0.22712588156850225,315,0,557.0
457705,Andrew McCutchen,0.2188006990499606,316,0,55.0
666182,Bo Bichette,0.21046015380370217,317,0,567.0
571771,Enrique Hernández,0.208614961709016,318,0,64.0
641584,Jake Fraley,0.2080366744616514,319,0,82.0
669357,Nolan Gorman,0.20786568504281658,320,0,208.0
686780,Pedro Pagés,0.20394072339282385,321,0,166.0
664774,LaMonte Wade Jr.,0.19062907023319153,322,0,113.0
500743,Miguel Rojas,0.18871779493536378,323,0,186.0
681481,Kerry Carpenter,0.187468604603296,324,0,234.0
650333,Luis Arraez,0.18433534686343625,325,0,597.0
663616,Trevor Larnach,0.17711940850152455,326,0,428.0
621438,Tyrone Taylor,0.17430720897839547,327,0,259.0
656976,Pavin Smith,0.16938541032941934,328,0,53.0
677649,Ezequiel Duran,0.1661951804589625,329,0,573.0
641680,Jonah Heim,0.16030662937748966,330,0,321.0
573262,Mike Yastrzemski,0.14978009035475895,331,0,326.0
592206,Nick Castellanos,0.14909419347002673,332,0,101.0
687462,Spencer Horwitz,0.1488402495155394,333,0,363.0
542303,Marcell Ozuna,0.14850975720451187,334,0,213.0
677008,Heston Kjerstad,0.1477438900137549,335,0,6.0
656305,Matt Chapman,0.14608074162726767,336,0,295.0
467793,Carlos Santana,0.1448809186371357,337,0,7.0
571970,Max Muncy,0.14421746907050592,338,0,544.0
502054,Tommy Pham,0.1426972831684528,339,0,2.0
680474,Max Schuemann,0.14235994780670524,340,0,90.0
673962,Josh Jung,0.13904343650847895,341,0,384.0
641598,Mitch Garver,0.13404803572569546,342,0,126.0
621043,Carlos Correa,0.12696609928480432,343,0,143.0
686681,Michael Massey,0.1128777170131263,344,0,386.0
571657,Kyle Farmer,0.1125598610685688,345,0,14.0
668904,Royce Lewis,0.10717540250676351,346,0,432.0
678009,Parker Meadows,0.10421735629926945,347,0,38.0
623168,Tyler Heineman,0.10227720407932436,348,0,137.0
630105,Jake Cronenworth,0.09813259611760405,349,0,280.0
669257,Will Smith,0.09415092101280836,350,0,227.0
664728,Kyle Isbel,0.08812288155611403,351,0,236.0
519317,Giancarlo Stanton,0.08677928405258165,352,0,92.0
643396,Isiah Kiner-Falefa,0.08254197367953982,353,0,160.0
624641,Edmundo Sosa,0.0755443116219985,354,0,232.0
624428,Adam Frazier,0.0699511776746282,355,0,119.0
663368,Blake Perkins,0.06936000896055367,356,0,84.0
643289,Mauricio Dubón,0.059666139056968465,357,0,527.0
642086,Dominic Smith,0.04446596527747291,358,0,273.0
595879,Javier Báez,0.041891322786555905,359,0,146.0
518692,Freddie Freeman,0.021346165902032373,360,0,621.0
543309,Kyle Higashioka,0.010641276142492958,361,0,163.0
656555,Rhys Hoskins,0.010157147291120206,362,0,268.0
