mlbam_id,name,team,bats,elig,owner,games,week_pts,avg_mult,base_rate,pa_g,woba_30,pa_30,rank
662139,Daulton Varsho,Houston Astros,L,OF,FA,6,22.0,1.016,0.943,3.82,0.253125,96.0,183
686217,Sal Frelick,Milwaukee Brewers,L,OF,FA,6,21.9,1.083,0.932,3.62,0.23617021276595743,48.0,184
671218,Heliot Ramos,New York Yankees,R,OF,GLIZZY,6,21.9,1.12,0.966,3.37,0.37307692307692303,52.0,185
702616,Jackson Holliday,Baltimore Orioles,L,2B,FA,6,21.9,0.96,0.943,4.03,0.19678899082568807,109.0,186
680664,Eduardo Valencia,Detroit Tigers,R,UT,CH,7,21.8,0.945,0.988,3.34,0.26125,49.0,187
666023,Freddy Fermin,San Diego Padres,R,C,FA,7,21.8,1.174,0.952,2.79,0.2555,42.0,188
699393,Pedro Ramírez,Chicago Cubs,S,2B,FA,6,21.8,0.994,0.972,3.76,0.28042105263157896,96.0,189
806198,Cooper Pratt,Milwaukee Brewers,R,SS,CH,6,21.7,1.014,0.98,3.64,0.2955714285714286,73.0,190
681082,Bryson Stott,Philadelphia Phillies,L,2B/3B,CS,6,21.7,0.962,0.991,3.8,0.22170212765957448,94.0,191
686681,Michael Massey,Kansas City Royals,L,2B,FA,6,21.7,1.032,0.958,3.66,0.33307692307692305,65.0,192
677649,Ezequiel Duran,Texas Rangers,R,2B/3B/SS/OF,CJF,6,21.7,0.896,0.975,4.14,0.37945454545454543,110.0,193
673237,Yainer Diaz,Houston Astros,R,C,FA,6,21.7,1.082,0.979,3.42,0.4057534246575342,73.0,194
605170,Victor Caratini,Minnesota Twins,S,C/1B,FA,7,21.6,0.991,0.942,3.31,0.20500000000000002,30.0,195
665052,Griffin Conine,Miami Marlins,L,OF,FA,6,21.6,0.968,0.996,3.72,0.3176,100.0,196
663616,Trevor Larnach,Minnesota Twins,L,OF,FA,7,21.6,0.983,0.968,3.25,0.3353225806451613,62.0,197
645277,Ozzie Albies,Atlanta Braves,S,2B,Dpf,6,21.6,0.94,0.923,4.14,0.2608695652173913,115.0,198
695734,Daylen Lile,Washington Nationals,L,OF,GK,5,21.5,1.079,0.996,4.01,0.3777227722772277,103.0,199
694203,Denzer Guzman,Los Angeles Angels,R,3B,FA,7,21.5,1.002,0.929,3.3,0.23418918918918916,75.0,200
